"ID","Titulo","Ano","RandomForest","SVM","NeuralNetwork","KNN","DecisionTree","GradientBoosting","NIR","FTIR","GCMS","LCMS","ICPMS","NMR","Sensor","Wine","Coffee","Olive","Honey","Cheese","Authentication","Classification","OriginDetection","Europe","Asia","Americas","Cluster_KMeans","Cluster_Hierarquico"
123,"Spatiotemporal pattern of land use and land cover changes of upper Sangu-Matamuhuri Watershed in the South-Eastern Bangladesh",2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1
124,"A FARM WORKERS RE-IDENTIFICATION METHOD VIA MULTI-FEATURE FUSION",2025,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
125,"Smart Agriculture: A Comprehensive Overview",2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
126,"Food Safety Related Data Analytics, Digital, and Artificial Intelligence Needs and Opportunities in Controlled Environment Agriculture",2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
127,"Harvest residue recycling rather than slash-burning results in the enhancement of soil fertility and bacterial community stability in Eucalyptus plantations",2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
128,"An Artificial IoT-Enabled Smart Production Line for 360° Visual Defect Detection and Classification of Cherry Tomatoes",2024,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
129,"Characterization of Fish Spawning Grounds near the Likouala-Aux-Herbes River, Lac Tele Community Reserve (LTCR), Republic of Congo, for Sustainable Wetland Management",2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
130,"EasyDAM_V4: Guided-GAN-based cross-species data labeling for fruit detection with significant shape difference",2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1
131,"A smart crop, irrigation system and fertiliser prediction using IoT and machine learning",2024,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
132,"Harnessing automation techniques for supporting sustainability in agriculture",2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
133,"Crop diagnostic system: A robust disease detection and management system for leafy green crops grown in an aquaponics facility",2023,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
134,"Artificial intelligence SoS framework for sustainable agricultural production",2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
135,"In-situ and airborne hyperspectral data for detecting agricultural activities in a dense forest landscape",2023,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1
136,"Monitoring Groundwater Storage Based on Satellite Gravimetry and Deep Learning",2023,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
137,"A Secure IoT-Based Irrigation System for Precision Agriculture Using the Expeditious Cipher",2023,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,1
138,"Contribution of ‘human induced fires’ to forest and savanna land conversion dynamics in the Luki Biosphere Reserve landscape, western Democratic Republic of Congo",2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
139,"Safety management of karst construction in railway tunnels and tunnel farming as compared to traditional farming",2022,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
140,"Variation of surface runoff due to change of land use in the river duero watershed; Variación de la escorrentía superficial por el cambio de uso de suelo en la cuenca del Río Duero",2022,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
141,"Fire risk assessment along the climate, vegetation type variability over the part of Asian region: a geospatial approach",2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1
142,"Landuse and land cover dynamics in the Volta River Basin surrounding APSD forest plantation, Ghana",2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
143,"Zoning eco-environmental vulnerability for environmental management and protection",2016,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1
144,"A study on forest changes in Kodaikanal Hills, Tamil Nadu, using remote sensing and GIS",2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
145,"Remote-sensing and GIS-based landslide-susceptibility zonation using the landslide index method in Igo River Basin, Eastern Himalaya, India",2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1
146,"Spatial prediction of soil erosion risk by remote sensing, GIS and RUSLE approach: A case study of Siruvani river watershed in Attapady valley, Kerala, India",2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
147,"Remote sensing and GIS based forest cover change detection study in Kalrayan hills, Tamil Nadu",2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
148,"Variation of surface runoff due to change of land use in the river Duero watershed",2022,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
149,"Origin identification of millet by combining spectral detection and a group attention feature calculation and classification network",2026,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1
150,"VIRTUAL RICE LEAF COLOR MODEL DRIVEN BY PIGMENT CONTENT",2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
151,"Analysing the trends in annual forest loss hotspots in the regional landscape of Eastern Ghats, India",2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
152,"Harmonization of global land use change and management for the period 850-2100 (LUH2) for CMIP6",2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
153,"Promotion of crop diversification in mountainous areas using geospatial technologies",2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
154,"Simulating land-use degradation in West Africa with the ALADYN model",2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
155,"Forest regeneration pathways in contrasting deforestation patterns of Amazonia",2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
156,"Regional simulation of maize production in tropical savanna fallow systems as affected by fallow availability",2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
157,"Greenhouse environmental monitoring and control system based on improved fuzzy PID and neural network algorithms",2025,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1
158,"Unveiling the drivers of riparian vegetation change in Mediterranean river systems via remote sensing",2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1
159,"HAINAN SPECIAL ECONOMIC ZONE: SUCCESS FACTORS",2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
160,"Long-term annual estimation of forest above ground biomass, canopy cover, and height from airborne and spaceborne sensors synergies in the Iberian Peninsula",2024,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1
161,"A digital-twin and rapid optimization framework for optical design of indoor farming systems",2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
162,"Rapeseed Seed Coat Color Classification Based on the Visibility Graph Algorithm and Hyperspectral Technique",2024,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
163,"How Can a Changing Climate Influence the Productivity of Traditional Olive Orchards? Regression Analysis Applied to a Local Case Study in Portugal",2023,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1
164,"An analysis of the recent fire regimes in the Angolan catchment of the Okavango Delta, Central Africa",2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
165,"The effectiveness of Tiger Conservation Landscapes in decreasing deforestation in South Asia: a remote sensing-based study",2022,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1
166,"Exploring archetypes of tropical fire-related forest disturbances based on dense optical and radar satellite data and active fire alerts",2021,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,1
167,"The need for integrated systems biology approaches for biotechnological applications",2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
168,"What makes better village economic development in traditional agricultural areas of China? Evidence from 338 villages",2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
169,"Assessing topographic controls on vegetation characteristics in Chittagong Hill Tracts (CHT) from remotely sensed data",2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
170,"Evaluation of the similarity in tree community composition in a tropical rainforest using airborne LiDAR data",2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
171,"Remote sensing enables high discrimination between organic and non-organic cotton for organic cotton certification in West Africa",2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1
172,"Comparison of traditional and ET-based irrigation scheduling of surface-irrigated cotton in the arid southwestern USA",2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
173,"Fitting the stocking rate with pastoral resources to manage and preserve mediterranean forestlands: A case study",2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1
174,"Evaluation of traditional and consolidated rice farms in Guilan Province, Iran, using life cycle assessment and fuzzy modeling",2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
175,"Tracking land-cover changes with sedimentary charcoal in the Afrotropics",2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
176,"Forest fragmentation in India",2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
177,"Vegetation Dynamics from Denoised NDVI Using Empirical Mode Decomposition",2013,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1
178,"Multi-temporal airborne LiDAR-survey and field measurements of tropical peat swamp forest to monitor changes",2013,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
179,"Detecting powdery mildew of winter wheat using leaf level hyperspectral measurements",2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
180,"Practicalities of non-destructive methodologies in monitoring anthropogenic greenhouse gas emissions from tropical forests under the influence of human intervention",2011,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1
181,"Global patterns of cropland use intensity",2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
182,"Land system science and the social-environmental system: the case of Southern Yucatan Peninsular Region (SYPR) project",2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
183,"Federated learning and blockchain approach for securing IoT data",2025,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
184,"Hybrid deep learning system for crop disease classification using modified SegNet segmentation",2025,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
185,"Unified Pest Prevention and Control System based on AIoT for Sustainable Agriculture",2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
186,"Precision fermentation: a new ‘thing’ or just a new name? Current status locally and globally",2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
187,"A possible role of NDVI time series from Landsat Mission to characterize lemurs habitats degradation in Madagascar",2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
188,"Enhancing Education in Agriculture via XR-Based Digital Twins: A Novel Approach for the Next Generation",2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
189,"Proposing an artificial intelligence maturity model to illustrate a road map for cleaner animal farming management",2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
190,"Agricultural land suitability analysis in Manipur, India using GIS and AHP",2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1
191,"An environment safety monitoring system for agricultural production based on artificial intelligence, cloud computing and big data networks",2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
192,"Technological Revolution, Disruptive Technology and Smart Agriculture; 科技 ? 命 ?颠覆性技术与智慧农业",2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1
193,"Design and implementation of smartfarm integrated platform",2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
194,"A recognition of farming behavior method based on EPCI-LSTM model",2021,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1
195,"Nutrition, food markets and agriculture: Economic issues against the background of globalization",2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
196,"Iot based smart farming using cloud computing and machine learning",2019,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
197,"Water footprint of growing vegetables in selected smallholder irrigation schemes in South Africa",2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
198,"Combination of textural features for the improvement of terrain classification and change detection",2015,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
199,"Remote sensing and GIS techniques for assessment of the soil water content in order to improve agricultural practice and reduce the negative impact on groundwater: Case study, agricultural area Ştefan cel Mare, Cǎlǎraşi County",2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
200,"Assessment of spatial and temporal dynamics of tropical forest cover: A case study in Malkangiri district of Orissa, India",2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
201,"An approach for precision farming under pivot irrigation system using remote sensing and GIS techniques",2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
202,"Agricultural change in the Pastaza River Basin: A spatially explicit model of native Amazonian cultivation",2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
203,"Sustainable Smart Aquaponics Farming Using IoT and Data Analytics",2022,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
204,"Assessment of forest change in a rural district using satellite imagery: A case study in Loc Ninh, Binh Phuoc Province, Vietnam",2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
205,"Root Seeking and Remote Sensing with the Bunun in the Mountains of Taiwan",2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
206,"Modelling and Assessing the Spatiotemporal Changes to Future Land Use Change Scenarios Using Remote Sensing and CA-Markov Model in the Mellegue Catchment",2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
207,"Degraded pasture distribution and woody enrichment strategies for pasture fertility preservation in the bragantina region, north-eastern amazon",2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1
208,"Drivers of forest cover transitions in the Selva Maya, Mexico: Integrating regional and community scales for landscape assessment",2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1
209,"Quantifying the causes of deforestation and degradation and creating transparent REDD plus baselines: A method and case study from central Mozambique",2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
210,"How do agrarian transitions affect rural incomes? Insights from a borderland region in northern Vietnam and Laos",2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
211,"Electoral cycles in environmental outcomes in India",2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
212,"A DIACHRONIC ANALYSIS OF THE VEGETATION COVER IN A SPATE IRRIGATION PERIMETER – CASE STUDY: THE EL FEIDH REGION, BISKRA, ALGERIA",2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
213,"Resilience, remoteness and war shape the land cover dynamics in one of the world's largest miombo woodlands",2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
214,"Understanding the impact of mobility on Plasmodium spp. carriage in an Amazon cross-border area with low transmission rate",2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1
215,"Investigating the impact of a long-term research and conservation project on the expansion of land use and land cover in a remote area of central DRC",2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
216,"A Study on the Estimation Model of Hyperspectral Reflectivity and Leaf Nitrogen Content of Cotton Leaves",2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
217,"Vegetation dynamics and their relationships with climatic factors in the “Golden Triangle” region",2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
218,"A Continental Assessment of the Drivers of Tropical Deforestation With a Focus on Protected Areas",2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
219,"Characteristics and Driving Factors of Land Use Evolution in Typical Traditional Village Gathering Place; 典型传统村落集聚地土地利用演变特征及驱动因素",2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
220,"Fire occurrences and greenhouse gas emissions from deforestation in the Brazilian Amazon",2021,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1
221,"Measuring and monitoring forest cover dynamics in the humid forests ecoregion of eastern Madagascar; Mesure et suivi de la dynamique du couvert forestier: Cas de l’écorégion des forêts humides de l’est de Madagascar; Medición y seguimiento de la dinámica del dosel forestal: el caso de la ecorregión de la selva oriental de Madagascar",2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
222,"Analysis of the Current and Future Prediction of Land Use/Land Cover Change Using Remote Sensing and the CA-Markov Model in Majang Forest Biosphere Reserves of Gambella, Southwestern Ethiopia",2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
223,"Land covers analyses during slash and burn agriculture by using multispectral imagery obtained with Unattended Aerial Vehicles (UAVs); Análisis de la cobertura vegetal durante la agricultura de tumba-quema utilizando imágenes multispectrales obtenidas con Vehículos Aéreos no Tripulados (VANTs)",2021,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
224,"A framework for assessing the ecological vulnerability of forests along tropical deforestation fronts based on an assessment of forest degradation following a landscape approach: Case studies in brazil and vietnam; Un cadre d’évaluation de la vulnérabilité écologique des forêts dans les fronts de déforestation tropicaux à partir de l’évaluation de la dégradation des forêts dans une approche paysagère: études de cas au brésil et vietnam; Un escenario de evaluación de la vulnerabilidad ecológica de los bosques en los frentes de deforestación tropicales a partir de la degradación forestal con un enfoque paisajístico: Estudios de caso en brasil y vietnam",2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1
225,"Clear, but don't invest: Protected areas discourage some land uses more than others",2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
226,"Estimation of the spatiotemporal patterns of vegetation and associated ecosystem services in a bornean montane zone using three shifting-cultivation scenarios",2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
227,"Forest cover changes in Bhutan: Revisiting the forest transition",2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
228,"Spatio-temporal dynamics and ecological service function assessment of slope farmland in Karst areas of Guizhou province, China",2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
229,"Co-assessment of biomass and soil organic carbon stocks in a future reservoir area located in Southeast Asia",2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1
230,"IDENTIFYING THE DRIVERS OF DEFORESTATION IN THE ISANGI REGION, DEMOCRATIC REPUBLIC OF CONGO",2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
231,"The expansion of the agricultural frontier and land-cover and land-use changes in central-south portion of the state of Goias from 1975 to 2010",2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
232,"Understanding the impact of mobility on Plasmodium spp. carriage in an Amazon cross- border area with low transmission rate",2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
233,"``Nothing Is Like It Was Before{''}: The Dynamics between Land-Use and Land-Cover, and Livelihood Strategies in the Northern Vietnam Borderlands",2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
234,"Analysing challenges and strategies in land productivity in Sikkim Himalaya, India",2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
235,"Rural Roads Are Paving the Way for Land-Use Intensification in the Uplands of Laos",2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
236,"Ecological health effects of rural livelihood and poverty reduction strategies in the Lake Bosomtwe basin of Ghana",2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
237,"Water management and land-use practices from the Iron-Age to the Roman period in Eastern Iberia",2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1
238,"Ancient Agrolandscapes of the Darkhat Basin (Northern Mongolia)",2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
239,"Normalized Difference Red-NIR-SWIR: A new Sentinel-2 three-band spectral index for mapping freshly-opened swiddens in the tropics",2024,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
240,"Fire regime of peatlands in the Angolan Highlands",2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
241,"Ancient Agriculture on Lava Flows: Using LiDAR and Soil Science to Reassess Pre-Hispanic Farming on Malpaís Landforms in West Mexico",2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
242,"Spatial and temporal CO concentration over Malaysia and Indonesia using 4 decade remote sensing dataset",2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
243,"Markov random field-based method for super-resolution mapping of forest encroachment from remotely sensed ASTER image",2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
244,"Deforestation drivers in southwest Amazonia: Comparing smallholder farmers in iñapari, Peru, and Assis Brasil, Brazil",2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
